2025-07-17 00:53:26 [DEBUG] AutoFeeding:trigger_ccd1_detection:529 - 檢測等待: 201=9, 203=0, 204=0, 205=0
2025-07-17 00:53:26 [INFO] AutoFeeding:main_loop:867 - 收到中斷信號，準備退出
2025-07-17 00:53:26 [DEBUG] AutoFeeding:stop_vp_vibration:647 - VP震動停止完成
2025-07-17 00:53:26 [WARNING] AutoFeeding:emergency_stop_vp:800 - VP緊急停止
2025-07-17 00:53:26 [INFO] AutoFeeding:stop_feeding:794 - 入料檢測已停止
2025-07-17 00:53:26 [INFO] AutoFeeding:disconnect:261 - Modbus連接已斷開
2025-07-17 00:53:26 [INFO] AutoFeeding:main_loop:877 - 主循環執行緒已停止
2025-07-17 00:53:44 [INFO] AutoFeeding:load_config:217 - 配置檔案已載入: c:\Users\user\Documents\GitHub\DobotDR\LOG\Automation\AutoFeeding\autofeeding_config.json
2025-07-17 00:53:44 [INFO] AutoFeeding:__init__:169 - DR AutoFeeding獨立模組初始化 - 基地址900
2025-07-17 00:53:44 [INFO] AutoFeeding:__init__:170 - 保護區域: X(-112.0 ~ -4.0mm), Y(243.0 ~ 339.21mm)
2025-07-17 00:53:44 [INFO] AutoFeeding:__init__:171 - 監控當前執行Flow地址: 1201
2025-07-17 00:53:44 [INFO] AutoFeeding:__init__:172 - 當1201=1時暫停自動進料程序
2025-07-17 00:53:44 [INFO] AutoFeeding:__init__:175 - 系統組件初始化完成
2025-07-17 00:53:44 [INFO] AutoFeeding:connect:234 - 正在連接 127.0.0.1:502
2025-07-17 00:53:44 [INFO] AutoFeeding:connect:245 - Modbus連接建立成功
2025-07-17 00:53:44 [INFO] AutoFeeding:init_registers:295 - 寄存器初始化完成
2025-07-17 00:53:44 [INFO] AutoFeeding:main_loop:807 - 主循環執行緒已啟動
2025-07-17 00:53:44 [INFO] AutoFeeding:main_loop:808 - 特性：
2025-07-17 00:53:44 [INFO] AutoFeeding:main_loop:809 -   ✓ 主動監控當前執行Flow狀態 (1201)
2025-07-17 00:53:44 [INFO] AutoFeeding:main_loop:810 -   ✓ 當1201=1時暫停自動進料程序
2025-07-17 00:53:44 [INFO] AutoFeeding:main_loop:811 -   ✓ 持續檢測確保DR_F可用
2025-07-17 00:53:44 [INFO] AutoFeeding:main_loop:812 -   ✓ 簡化交握邏輯
2025-07-17 00:53:44 [INFO] AutoFeeding:main_loop:813 -   ✓ Flow1直接讀取座標
2025-07-17 00:53:44 [INFO] AutoFeeding:main_loop:814 -   ✓ DR保護區域: X(-112~-4mm), Y(243~339.21mm)
2025-07-17 00:53:44 [INFO] AutoFeeding:start_feeding:777 - 啟動持續入料檢測
2025-07-17 00:53:44 [INFO] AutoFeeding:start_feeding:778 - 目標：保持保護區域內始終有DR_F可用
2025-07-17 00:53:44 [DEBUG] AutoFeeding:main_loop:831 - 主循環 1: running=True, status=RUNNING, flow1_active=False, dr_f_available=False
2025-07-17 00:53:44 [INFO] AutoFeeding:update_status_registers:381 - 系統統計 - 週期:0, DR_F找到:0, Flow4觸發:0, VP震動:0
2025-07-17 00:53:44 [DEBUG] AutoFeeding:check_modules_status:458 - CCD1狀態: 9 (Ready=True, Running=False, Alarm=False, Init=True)
2025-07-17 00:53:44 [DEBUG] AutoFeeding:trigger_ccd1_detection:506 - 發送檢測指令前 - 201狀態: 9
2025-07-17 00:53:44 [DEBUG] AutoFeeding:trigger_ccd1_detection:514 - 已發送控制指令16到寄存器200
